sekolah_id_enkrip,Nama_Sekolah,Provinsi,Kota_Kabupaten,Kecamatan,NPSN,Status,Bentuk_Pendidikan,Status_Kepemilikan,SK_Pendirian_Sekolah,Tanggal_SK_Pendirian,SK_Izin_Operasional,Tanggal_SK_Izin_Operasional,Kebutuhan_Khusus_Dilayani,Nama_Bank,Cabang_KCP_Unit,Rekening_Atas_Nama,Status_BOS,Waktu_Penyelenggaraan,Sertifikasi_ISO,Sumber_Listrik,Daya_Listrik,Kecepatan_Internet,Kepsek,Operator,Akreditasi,Kurikulum,Waktu,Alamat,RT_RW,Dusun,Desa_Kelurahan,Kode_Pos,Lintang,Bujur,Guru_L,Guru_P,Guru_Total,Tendik_L,Tendik_P,Tendik_Total,PTK_L,PTK_P,PTK_Total,Peserta_Didik_L,Peserta_Didik_P,Peserta_Didik_Total,Ruang_Kelas,Ruang_Perpus,Ruang_Lab,Ruang_Pratik,Rombel
2CCCA0AE680D8495D791,SD NEGERI 001 BALIKPAPAN UTARA,Prov. Kalimantan Timur,Kota Balikpapan,Kec. Balikpapan Utara,30401540,Negeri,SD,Pemerintah Daerah,,1985-08-21,-,1910-01-01,Tidak ada,BPD KALTIMTARA...,BPD KALIMANTAN TIMUR DAN KALIMANTAN UTARA CABANG BALIKPAP...,SDN001BALIKPAPANUTARA...,-,-,-,-,,,Nunik Alfiana,ANGGITAVIA WAHYUNI,A,Kurikulum Merdeka,-,Jln. Tiga Indrakilla RT.25,25 / 0,,Gunung Samarinda,76125,-1,116,7,29,36,1,2,3,8,31,39,389,408,797,19,1,0,0,27
3B534523CE53C79DC238,SD NEGERI 002 BALIKPAPAN UTARA,Prov. Kalimantan Timur,Kota Balikpapan,Kec. Balikpapan Utara,30401553,Negeri,SD,Pemerintah Daerah,188.45-302/2022,2022-06-08,420 / 1849 /PSD-V/2017,2017-05-24,Tidak ada,BPD KALTIMTARA...,BPD KALIMANTAN TIMUR DAN KALIMANTAN UTARA CABANG BALIKPAP...,SDN002BALIKPAPANUTARA...,-,-,-,-,,,Tri Vollysa,,A,Kurikulum Merdeka,-,Jl. Cendrawasih II No.40 Rt.17,17 / 0,,Muara Rapak,76125,-1,116,7,25,32,1,5,6,8,30,38,334,354,688,23,1,0,0,24
2B5BF8C165BF82642CC3,SD NEGERI 004 BALIKPAPAN UTARA,Prov. Kalimantan Timur,Kota Balikpapan,Kec. Balikpapan Utara,30401544,Negeri,SD,Pemerintah Pusat,,1910-01-01,-,1910-01-01,Tidak ada,BPD KALTIMTARA...,BPD KALIMANTAN TIMUR DAN KALIMANTAN UTARA CABANG BALIKPAP...,SDN004BALIKPAPANUTARA...,-,-,-,-,,,Awaliana Riska,RARA DAMAYANTI,A,Kurikulum Merdeka,-,Jl. Ahmad Yani Rt.065 Muara Rapak,0 / 0,Muara Rapak,Muara Rapak,76125,-1,116,7,22,29,2,2,4,9,24,33,380,316,696,22,1,1,0,25
BF8BE1B2F19351FCB282,SD NEGERI 005 BALIKPAPAN UTARA,Prov. Kalimantan Timur,Kota Balikpapan,Kec. Balikpapan Utara,30401646,Negeri,SD,Pemerintah Daerah,-,1979-01-01,420/3430/Disdikbud,2022-04-27,Tidak ada,BPD KALTIMTARA...,BPD KALIMANTAN TIMUR DAN KALIMANTAN UTARA CABANG BALIKPAP...,SDN005BALIKPAPANUTARA...,-,-,-,-,,,Tri Wijayati,,A,Kurikulum Merdeka,-,Jl. Inpres IV RT. 11,11 / 0,,Muara Rapak,76125,-1,116,2,5,7,1,2,3,3,7,10,84,85,169,6,1,1,0,6
EE8773792664AA10BA57,SD NEGERI 009 BALIKPAPAN UTARA,Prov. Kalimantan Timur,Kota Balikpapan,Kec. Balikpapan Utara,30401610,Negeri,SD,Pemerintah Daerah,-,1910-01-01,420/1936/Disdikbud,1910-01-01,Tidak ada,Bank Kaltim,Balikpapan,SDN 009 Balikpapan Utara,-,-,-,-,,,Iin Ratmayati,INDAH SARIDEWI,A,Kurikulum Merdeka,-,Jl. Soekarno Hatta RT.38 KM.8,38 / 0,Graha Indah,GRAHA INDAH,76126,-1,116,10,29,39,2,2,4,12,31,43,493,462,955,13,1,0,0,30
9765C499850EBA117381,SD NEGERI 006 BALIKPAPAN UTARA,Prov. Kalimantan Timur,Kota Balikpapan,Kec. Balikpapan Utara,30401642,Negeri,SD,Pemerintah Daerah,,1967-01-01,-,1910-01-01,Tidak ada,Bank Kaltim,Balikpapan,SDN 006 Balikpapan Utara,-,-,-,-,,,Yudi Siswanto,ROFIKAYANTI,A,Kurikulum Merdeka,-,Jl. Soekarno Hatta Km.11 RT.11,14 / 0,,Karang Joang,76127,-1,116,4,13,17,0,3,3,4,16,20,224,228,452,7,1,1,0,14
BF39B3579565E233FB90,SD NEGERI 003 BALIKPAPAN UTARA,Prov. Kalimantan Timur,Kota Balikpapan,Kec. Balikpapan Utara,30402853,Negeri,SD,Pemerintah Pusat,420/1958/Disdikbud,2004-01-01,420/1958/Disdikbud,2023-02-16,Tidak ada,BPD KALTIMTARA...,BPD KALIMANTAN TIMUR DAN KALIMANTAN UTARA CABANG BALIKPAP...,SDN003BPPUTARA(BOSPUS)...,-,-,-,-,,,"Ade Mayang Sari, S.Pd",INDHY SULISTIYA,A,Kurikulum Merdeka,-,Jl. Arjuna I Rt. 065 No.36,65 / 0,,Muara Rapak,76125,-1,116,3,25,28,2,4,6,5,29,34,325,282,607,20,1,1,0,23
33BE3513A1865DF0592E,SD NEGERI 008 BALIKPAPAN UTARA,Prov. Kalimantan Timur,Kota Balikpapan,Kec. Balikpapan Utara,30401659,Negeri,SD,Pemerintah Daerah,-,1975-01-01,420/3445/Disdikbud,2022-04-28,Tidak ada,BPD KALTIMTARA...,BPD KALIMANTAN TIMUR DAN KALIMANTAN UTARA CABANG BALIKPAP...,SDN008BALIKPAPANUTARA...,-,-,-,-,,,Rachmad Pratama,Ayu Widyawati,A,Kurikulum Merdeka,-,Sei Wain,36 / 0,,Karang Joang,76127,-1,116,2,6,8,2,0,2,4,6,10,53,49,102,6,1,0,0,6
97A36D41411F86EAE9FD,SD NEGERI 007 BALIKPAPAN UTARA,Prov. Kalimantan Timur,Kota Balikpapan,Kec. Balikpapan Utara,30401669,Negeri,SD,Pemerintah Daerah,,1964-01-01,-,1910-01-01,Tidak ada,Kaltim,Balikpapan,SDN 007 Balikpapan utara,-,-,-,-,,,Katimah,Yuliana,A,Kurikulum Merdeka,-,Jl Di Panjaitan Rt 5 No.15,5 / 0,,Gunung Samarinda,76125,-1,116,4,11,15,0,2,2,4,13,17,180,156,336,6,1,0,0,12
5EB083F5BD45E2573535,SD NEGERI 012 BALIKPAPAN UTARA,Prov. Kalimantan Timur,Kota Balikpapan,Kec. Balikpapan Utara,30402873,Negeri,SD,Pemerintah Daerah,,1910-01-01,-,1910-01-01,Tidak ada,BANK KALTIM,cabang,SDN 012 BALIKPAPAN UTARA,-,-,-,-,,,Sunardi,Diana Triwayati,A,Kurikulum Merdeka,-,Jl. Giri Mulyo Km.14 Rt.22,22 / 0,,Karang Joang,76127,-1,116,1,10,11,1,2,3,2,12,14,132,114,246,7,1,0,0,9
