sekolah_id_enkrip,Nama_Sekolah,Provinsi,Kota_Kabupaten,Kecamatan,NPSN,Status,Bentuk_Pendidikan,Status_Kepemilikan,SK_Pendirian_Sekolah,Tanggal_SK_Pendirian,SK_Izin_Operasional,Tanggal_SK_Izin_Operasional,Kebutuhan_Khusus_Dilayani,Nama_Bank,Cabang_KCP_Unit,Rekening_Atas_Nama,Status_BOS,Waktu_Penyelenggaraan,Sertifikasi_ISO,Sumber_Listrik,Daya_Listrik,Kecepatan_Internet,Kepsek,Operator,Akreditasi,Kurikulum,Waktu,Alamat,RT_RW,Dusun,Desa_Kelurahan,Kode_Pos,Lintang,Bujur,Guru_L,Guru_P,Guru_Total,Tendik_L,Tendik_P,Tendik_Total,PTK_L,PTK_P,PTK_Total,Peserta_Didik_L,Peserta_Didik_P,Peserta_Didik_Total,Ruang_Kelas,Ruang_Perpus,Ruang_Lab,Ruang_Pratik,Rombel
B6EC42B6FAF65BB6B43B,SD NEGERI ANYELIR 1,Prov. Jawa Barat,Kota Depok,Kec. Pancoran Mas,20228621,Negeri,SD,Pemerintah Daerah,01/08/1980,1980-08-01,01/08/1980,1980-08-01,Tidak ada,BPD JABAR BANTEN...,BPD JABAR BANTEN CABANG DEPOK...,SDNANYELIR1...,-,-,-,-,,,Heny Herawati,Ahmad Robiansyah,A,Kurikulum Merdeka,-,Jl. Nusantara Raya No 241 Rt 01 Rw 06,1 / 6,,Depok Jaya,16432,-6,106,9,17,26,5,0,5,14,17,31,322,328,650,20,1,2,0,24
9920C138996DD752DF0D,SD NEGERI ANYELIR 2,Prov. Jawa Barat,Kota Depok,Kec. Pancoran Mas,20228622,Negeri,SD,Pemerintah Daerah,-,1980-01-07,-,1910-01-01,Tidak ada,BPD JABAR BANTEN...,BPD JABAR BANTEN CABANG DEPOK...,SDNANYELIR2...,-,-,-,-,,,Fani Dwi Arini,,A,Kurikulum Merdeka,-,Jl. Anyelir Raya No.67,1 / 6,Depok Jaya,DEPOK JAYA,16432,-6,106,3,15,18,1,1,2,4,16,20,202,192,394,8,1,1,0,13
DC67D358D4D3A1797F1F,SD NEGERI BEJI 1,Prov. Jawa Barat,Kota Depok,Kec. Pancoran Mas,20228633,Negeri,SD,Pemerintah Daerah,,1974-01-01,-,1910-01-01,Tidak ada,BJB,Depok,SDN BEJI 1,-,-,-,-,,,"Nisa Rahmawati, S. Pd",TRI KURNIA JULIANTO,A,Kurikulum Merdeka,-,Jl Komodo No 4,1 / 7,,DEPOK JAYA,16432,-6,106,2,12,14,4,0,4,6,12,18,175,192,367,7,1,1,0,12
D3F586F384B37538A7BB,SD NEGERI DEPOK 1,Prov. Jawa Barat,Kota Depok,Kec. Pancoran Mas,20228706,Negeri,SD,Pemerintah Pusat,0,1949-01-01,-,1949-01-01,Tidak ada,BPD JABAR BANTEN...,BPD JABAR BANTEN CABANG MARGONDA...,SDNDEPOKI...,-,-,-,-,,,Arwin,ARDIANSYAH,A,Kurikulum Merdeka,-,Jl Pemuda N0 76,1 / 8,,DEPOK,16431,-6,106,6,22,28,3,1,4,9,23,32,327,324,651,24,1,1,0,22
96BFEA6B4E7B841B77EA,SD NEGERI DEPOK 2,Prov. Jawa Barat,Kota Depok,Kec. Pancoran Mas,20228707,Negeri,SD,Pemerintah Daerah,001/2132,1946-12-01,-,1910-01-01,Tidak ada,BPD JABAR BANTEN...,BPD JABAR BANTEN CABANG DEPOK...,SDNDEPOK2...,-,-,-,-,,,Maria Ulfah,,A,Kurikulum Merdeka,-,Jl. Stasiun No 4 Depok,1 / 2,Pancoranmas,DEPOK,16431,-6,106,5,18,23,1,2,3,6,20,26,254,243,497,11,1,0,0,17
4DD524344809D516E51E,SD NEGERI DEPOK 4,Prov. Jawa Barat,Kota Depok,Kec. Pancoran Mas,20228709,Negeri,SD,Pemerintah Daerah,,1977-07-01,-,1977-07-01,Tidak ada,BPD JABAR BANTEN...,BPD JABAR BANTEN CABANG DEPOK...,SDNDEPOK4...,-,-,-,-,,,Maria Ulfah,Haryo Agung Nugroho,Tidak diisi,Kurikulum Merdeka,-,Jl Stasiun No 4,1 / 2,,DEPOK,16431,-6,106,7,10,17,1,0,1,8,10,18,197,184,381,6,1,1,0,13
D0CE460A645E10C5A7D4,SD NEGERI DEPOK 5,Prov. Jawa Barat,Kota Depok,Kec. Pancoran Mas,20228710,Negeri,SD,Pemerintah Daerah,,1910-01-01,3455/VI-A/PK/84,1984-12-26,Tidak ada,bank jabar,DEPOK,sdn depok 5,-,-,-,-,,,Dudung Badrujaman,Gilang,B,Kurikulum Merdeka,-,Jl. Pemuda No. 31,4 / 8,DEPOK,DEPOK,16431,-6,106,3,8,11,2,1,3,5,9,14,145,146,291,9,1,0,0,9
2A0E8F97B6F43033F0C7,SD NEGERI DEPOK 6,Prov. Jawa Barat,Kota Depok,Kec. Pancoran Mas,20228711,Negeri,SD,Pemerintah Pusat,425/2325-Pendas,1986-09-06,-,1986-09-06,Tidak ada,BPD JABAR BANTEN...,BPD JABAR BANTEN CABANG KOTA DEPOK...,SDNDEPOK6...,-,-,-,-,,,Dwi Rahayu Nuryani,,Tidak diisi,Kurikulum Merdeka,-,Jl Parung Belimbing Sentral,8 / 3,PARUNG BELIMBING SENTRAL,DEPOK,16431,-6,106,1,13,14,0,2,2,1,15,16,222,188,410,6,1,1,0,13
3C3DFFE5D11267F7837E,SD NEGERI DEPOK BARU 1,Prov. Jawa Barat,Kota Depok,Kec. Pancoran Mas,20228712,Negeri,SD,Pemerintah Daerah,195/PSD/1978,1978-01-01,195/PSD/1978,1978-10-17,Tidak ada,BPD JABAR BANTEN...,BPD JABAR BANTEN CABANG DEPOK...,SDNDEPOKBARU1...,-,-,-,-,,,Ika Mulyani,,A,Kurikulum Merdeka,-,Jl. Semangka 7 Rt.01 Rw.02,1 / 2,,Depok Jaya,16432,-6,106,7,14,21,2,3,5,9,17,26,252,272,524,15,1,1,0,17
4D690BF319DCD8B92BDE,SD NEGERI DEPOK BARU 2,Prov. Jawa Barat,Kota Depok,Kec. Pancoran Mas,20228713,Negeri,SD,Pemerintah Pusat,1664/11.B/2005,2005-02-21,196/PSD1978,1978-10-01,Tidak ada,BPD JABAR BANTEN...,BPD JABAR BANTEN CABANG KOTA DEPOK...,SDNDEPOKBARU2...,-,-,-,-,,,Kusrini Maryati,PRATIWI OKTAVIYANI,A,Kurikulum Merdeka,-,Jl. Merpati Raya,0 / 0,DEPOK JAYA,Depok Jaya,16432,-6,106,1,21,22,2,1,3,3,22,25,308,291,599,16,1,0,0,19
