sekolah_id_enkrip,Nama_Sekolah,Provinsi,Kota_Kabupaten,Kecamatan,NPSN,Status,Bentuk_Pendidikan,Status_Kepemilikan,SK_Pendirian_Sekolah,Tanggal_SK_Pendirian,SK_Izin_Operasional,Tanggal_SK_Izin_Operasional,Kebutuhan_Khusus_Dilayani,Nama_Bank,Cabang_KCP_Unit,Rekening_Atas_Nama,Status_BOS,Waktu_Penyelenggaraan,Sertifikasi_ISO,Sumber_Listrik,Daya_Listrik,Kecepatan_Internet,Kepsek,Operator,Akreditasi,Kurikulum,Waktu,Alamat,RT_RW,Dusun,Desa_Kelurahan,Kode_Pos,Lintang,Bujur,Guru_L,Guru_P,Guru_Total,Tendik_L,Tendik_P,Tendik_Total,PTK_L,PTK_P,PTK_Total,Peserta_Didik_L,Peserta_Didik_P,Peserta_Didik_Total,Ruang_Kelas,Ruang_Perpus,Ruang_Lab,Ruang_Pratik,Rombel
CD2E2DEBBF253DAD09FA,UPT SPF SD INPRES BADDOKA,Prov. Sulawesi Selatan,Kota Makassar,Kec. Biringkanaya,40307436,Negeri,SD,Pemerintah Daerah,421/3023/DP/VIII/2020,2020-08-26,421/3023/DP/VIII/2020,2020-08-26,Tidak ada,BPD SULAWESI SELA...,BPD SULAWESI SELATAN CABANG SUL SEL BAR...,SDNINPRESBADDOKA...,-,-,-,-,,,Zulkarnain Hidayat,"M. Ruhan Bachry, S. Pd., M. Pd.",B,Kurikulum Merdeka,-,Batara Bira No 1,1 / 6,BADDOKA,P A I,90242,-5,119,4,14,18,4,2,6,8,16,24,170,178,348,11,1,1,0,12
C8434BE496151C20996F,UPT SPF SD INPRES BAKUNG 2,Prov. Sulawesi Selatan,Kota Makassar,Kec. Biringkanaya,40307438,Negeri,SD,Pemerintah Daerah,421/3023/DP/VIII/2020,2020-08-26,421/3023/DP/VIII/2020,2020-08-26,Tidak ada,BPD SULAWESI SELA...,BPD SULAWESI SELATAN CABANG BIRINGKANAYA...,SDINPRESBAKUNGII...,-,-,-,-,,,Nur'aedah,Noni Gamar,B,Kurikulum Merdeka,-,Jl. Perintis Kemerdekaan Km. 18,1 / 16,Kalantubung,Sudiang,90242,-5,119,2,14,16,2,4,6,4,18,22,147,122,269,7,1,0,0,12
746135E8C8C33E213F46,UPT SPF SD INPRES KALANGTUBUNG 1,Prov. Sulawesi Selatan,Kota Makassar,Kec. Biringkanaya,40307587,Negeri,SD,Pemerintah Daerah,421/3023/DP/VIII/2020,2020-08-26,421/3023/DP/VIII/2020,2020-08-26,Tidak ada,BPD SULAWESI SELA...,BPD SULAWESI SELATAN CABANG...,SDINPRESKALANGTUBUNGI...,-,-,-,-,,,Muhammad Kasim,,B,Kurikulum Merdeka,-,Jl. Goaria,0 / 0,laikang,Sudiang,90242,-5,119,5,11,16,1,3,4,6,14,20,155,124,279,10,1,0,0,12
46D1D6EE4E0CE8CD6A0A,UPT SPF SD INPRES LAE-LAE 2,Prov. Sulawesi Selatan,Kota Makassar,Kec. Biringkanaya,40313566,Negeri,SD,Pemerintah Daerah,421/3023/DP/VIII/2020,2020-08-26,421/3023/DP/VIII/2020,2020-08-26,Tidak ada,BPD SULAWESI SELA...,BPD SULAWESI SELATAN CABANG  UTAMA MAKASSAR...,SDINPLAE-LAEII...,-,-,-,-,,,Martini,SITI RAMLAH,B,Kurikulum Merdeka,-,Jl. Salodong Komp. Pem Nelayan Blok C,1 / 1,Pemukiman Desa Nelayan,Untia,90243,-5,119,3,7,10,2,4,6,5,11,16,67,86,153,6,1,0,0,6
37D5F71A3AA49249F9B6,UPT SPF SD INPRES BAKUNG 1,Prov. Sulawesi Selatan,Kota Makassar,Kec. Biringkanaya,40307437,Negeri,SD,Pemerintah Daerah,421.2/5764/DP/IX/2016,1982-05-12,421.2/5764/DP/IX/2016,2016-09-16,Tidak ada,bank sulselbar,cabang utama makassar,SD INPRES BAKUNG I,-,-,-,-,,,Fadilah Idris,,B,Kurikulum Merdeka,-,Jl. Perintis Kemerdekaan Km 18,6 / 16,,Sudiang,90242,-5,119,5,11,16,3,3,6,8,14,22,131,93,224,6,1,1,0,12
5843C0BECB7D49E447C6,UPT SPF SD INPRES KALANG TUBUNG 2,Prov. Sulawesi Selatan,Kota Makassar,Kec. Biringkanaya,40307586,Negeri,SD,Pemerintah Daerah,421/3023/DP/VIII/2020,2020-08-26,421/3023/DP/VIII/2020,2020-08-26,Tidak ada,BPD SULAWESI SELA...,BPD SULAWESI SELATAN CABANG PUSAT...,SDINPRESKALANGTUBUNGII...,-,-,-,-,,,Muhammad Fauzan Basri,INDRIANI MUSLIMA JUFRI,B,Kurikulum Merdeka,-,Jln.asrama Haji Sudiang,2 / 8,Bakung,Sudiang,90242,-5,119,4,11,15,2,0,2,6,11,17,104,87,191,7,1,0,0,10
0A77A3DD3E1841F849C0,UPT SPF SD INPRES MANNURUKI 1,Prov. Sulawesi Selatan,Kota Makassar,Kec. Biringkanaya,40307627,Negeri,SD,Pemerintah Daerah,421/3023/DP/VIII/2020,2020-08-26,421/3023/DP/VIII/2020,2020-08-26,Tidak ada,PT' BANK SULSEL,cabang,SD INPRES MANNURUKI  I,-,-,-,-,,,Ardiana,SUHARDI,B,Kurikulum Merdeka,-,Jl. Mannuruki Raya,2 / 2,mannuruki,Sudiang Raya,90242,-5,119,4,15,19,1,3,4,5,18,23,186,196,382,7,1,0,0,14
FECD359D44FA8A460C96,UPT SPF SD INPRES DAYA,Prov. Sulawesi Selatan,Kota Makassar,Kec. Biringkanaya,40307595,Negeri,SD,Pemerintah Daerah,421.2/001/SD.387/XII/1973,1973-12-31,421/3023/DP/VIII/2020,2020-08-26,Tidak ada,BANK SULSEL,cabang,SD INPRES DAYA,-,-,-,-,,,Abdul Azis,ANDI RIZKY YUNITA,B,Kurikulum Merdeka,-,Jl.perintis Kemerdekaan No.12 A,0 / 0,Daya,Daya,90241,-5,119,4,23,27,2,1,3,6,24,30,255,235,490,11,1,1,0,18
92F15FEA839FD233AD85,UPT SPF SD INPRES MANNURUKI 2,Prov. Sulawesi Selatan,Kota Makassar,Kec. Biringkanaya,40307626,Negeri,SD,Pemerintah Daerah,421/3023/DP/VIII/2020,2020-08-26,421/3023/DP/VIII/2020,2020-08-26,Tidak ada,BANK PEMBANGUNAN DAE,cabang,SD INPRES MANNURUKI 2,-,-,-,-,,,Fatra Dwilalan Gasong,Muhammad Rusli,B,Kurikulum Merdeka,-,Jl Mannuruki,2 / 2,,Sudiang Raya,90242,-5,119,3,17,20,2,1,3,5,18,23,145,146,291,6,1,0,0,12
5B9FD95BE85AF7D8B5F9,UPT SPF SD INPRES MANGGA TIGA,Prov. Sulawesi Selatan,Kota Makassar,Kec. Biringkanaya,40307622,Negeri,SD,Pemerintah Daerah,421/3023/DP/VIII/2020,2020-08-26,421/3023/DP/VIII/2020,2020-08-26,Tidak ada,BPD SULAWESI SELA...,BPD SULAWESI SELATAN CABANG MAKASSAR/RATULANGI...,SDINPRESMANGGATIGA...,-,-,-,-,,,Sitti Halija,M.HUSAIN TASIM,A,Kurikulum Merdeka,-,Mangga Tiga Permai C/18,2 / 11,paccerakkang,Paccerakang,90241,-5,119,5,20,25,3,3,6,8,23,31,255,261,516,9,1,1,0,18
